"id","Nom","Marque","address","latitude","longitude","services","automate_h24","is_closed_day","business_hours","gas_price","gas_last_update"
"59710006","NEW STATION","Total Access","81 Rue de Seclin 59710 Avelin","osm_lat      50.5404
Name: 339, dtype: object","osm_lng      3.07374
Name: 339, dtype: object","Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Vente de gaz domestique (Butane, Propane)|Piste poids lourds|Automate CB|Lavage automatique|Lavage manuel",True,False,"",0.799,"2018-11-16 05:37:20"
"63370001","CORA","CORA","26 Avenue de l Europe 63370 LEMPDES","osm_lat      45.7774
Name: 340, dtype: object","osm_lng      3.19686
Name: 340, dtype: object","Restauration à emporter|Restauration sur place|Toilettes publiques|Bar|Boutique alimentaire|Station de gonflage|Espace bébé|Boutique non alimentaire|Services réparation / entretien|Laverie|Vente de gaz domestique (Butane, Propane)|Location de véhicule|Relais colis|Automate CB|Lavage automatique|Wifi|Automate CB 24/24",True,False,"00:00-23:59",0.749,"2018-11-06 22:00:00"
"60300007","RELAIS 3 FORETS","Total","64/66 AV. MAL FOCH 60300 SENLIS","osm_lat      49.2109
Name: 341, dtype: object","osm_lng      2.59305
Name: 341, dtype: object","",False,False,"",0.899,"2018-11-17 00:01:00"
"51100048","RELAIS REIMS BREBANT","Total Access","12 AVENUE BREBANT 51100 REIMS","osm_lat      49.2547
Name: 343, dtype: object","osm_lng      4.01697
Name: 343, dtype: object","",False,False,"",0.779,"2018-11-17 00:01:00"
"7250004","Station avia méhari sun","Avia","route de loriol 07250 LE POUZIN","osm_lat      44.756
Name: 344, dtype: object","osm_lng      4.758
Name: 344, dtype: object","Carburant additivé|Station de gonflage|Boutique non alimentaire|Piste poids lourds",False,False,"",0.91,"2018-11-14 13:07:22"
"37380003","BP A10 AIRE DE TOURS LA LONGUE VUE","BP","AUTOROUTE A10 AIRE DE LA BRUNELLERIE 37380 Monnaie","osm_lat      47.4759
Name: 346, dtype: object","osm_lng      0.776907
Name: 346, dtype: object","Restauration à emporter|Carburant additivé|Restauration sur place|Toilettes publiques|Douches|Boutique alimentaire|Station de gonflage|Espace bébé|Boutique non alimentaire|Piste poids lourds",False,False,"",0.989,"2018-10-03 06:00:00"
"33240001","GEANT CASINO","Géant","ZI DE LA GAROSSE 33240 SAINT-ANDRé-DE-CUBZAC","osm_lat      45.0128
Name: 347, dtype: object","osm_lng     -0.424925
Name: 347, dtype: object","Carburant additivé|Station de gonflage|Vente de gaz domestique (Butane, Propane)|Automate CB|Lavage automatique",True,False,"09:00-19:30",0.723,"2018-11-14 09:06:25"
"59113007","Aire de Phalempin-Est","Avia","Autoroute A 1 59113 SECLIN","osm_lat      50.5288
Name: 348, dtype: object","osm_lng      3.04579
Name: 348, dtype: object","Restauration à emporter|Carburant additivé|Restauration sur place|Toilettes publiques|Bar|Douches|Boutique alimentaire|Station de gonflage|Espace bébé|Boutique non alimentaire|Aire de camping-cars|Piste poids lourds|Bornes électriques|Vente d'additifs carburants|Wifi",False,False,"",0.95,"2018-11-15 06:49:58"
"85110001","Hyper U CHANTONNAY","Système U","45 AV G. CLEMENCEAU 85110 CHANTONNAY","osm_lat      46.6814
Name: 349, dtype: object","osm_lng     -1.04896
Name: 349, dtype: object","Restauration sur place|Toilettes publiques|Bar|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Laverie|Vente de gaz domestique (Butane, Propane)|Location de véhicule|Relais colis|Piste poids lourds|Automate CB|Lavage automatique|Lavage manuel|Automate CB 24/24",True,False,"",0.799,"2018-11-05 10:47:46"
"63100003","STATION AUCHAN","Auchan","Boulevard Etienne Clementel 63100 CLERMONT-FERRAND","osm_lat      45.814
Name: 350, dtype: object","osm_lng      3.10898
Name: 350, dtype: object","Restauration à emporter|Carburant additivé|Restauration sur place|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Piste poids lourds|Automate CB|Bornes électriques|Automate CB 24/24",True,False,"",0.746,"2018-11-05 11:46:51"
