"osm_obj","osm_id","osm_lat","osm_lng","osm_ref:FR:prix-carburants","osm_name","osm_brand","osm_operator","osm_opening_hours"
"node","571833146",45.7263694,4.8394053,"69007009","Total Access","Total","Total","24/7"
"node","574334710",43.2493349,-0.2794045,"64510001","","","Groupement des Mousquetaires","24/7"
"node","577367481",44.868208,-0.4970195,"33370008","Simply Market","","Simply Market","24/7"
"node","577383975",44.8814887,-0.35603,"33750003","Total Access","","Total","24/7"
"node","577774484",46.1159125,3.4378638,"3200002","Total - Vernet","Total","Total","24/7"
"node","577775475",46.1306453,3.4337481,"3200003","Total Lagarde","Total","Total","24/7"
"node","578464484",48.0581744,7.334443,"68000015","","","Pôle position","24/7"
"node","579593282",48.8965518,-0.1905919,"14700001","Carrefour Market","","Carrefour","24/7"
"node","579959966",43.6590262,1.4559453,"31140006","Auchan","","Auchan","24/7"
"node","581048375",43.8248097,4.3783746,"30000019","Total Access","","Total","24/7"
"node","581088455",43.9120355,2.1272336,"81990002","Intermarché","","Groupement des Mousquetaires","24/7"
"node","581301771",47.9260153,-3.7041347,"29380001","","","Groupement des Mousquetaires",""
"node","581704879",48.8876295,2.1879647,"92000015","BP","","BP","24/7"
"node","581704881",48.8879656,2.1873273,"92000017","Total","","Total /Spar","24/7"
"node","581704882",48.8877119,2.189373,"92000019","Elf","Total Access","Elf","24/7"
"node","582223754",48.3422884,-4.7230697,"29217001","Intermarché Super","","Groupement des Mousquetaires",""
"node","582658517",48.6911019,2.1151454,"91190001","","","Carrefour","24/7"
"node","582751437",48.8912181,2.2474811,"92400015","","Total","","24/7"
"node","583327499",47.7525004,7.3545455,"68100005","","","","24/7"
"node","588080381",49.0108546,2.0297893,"95280001","Carrefour Market","","Carrefour Market","24/7"
